Year,Deaths,2012,2013,2014,2015,2016,2017
2013,"129,123"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
2012,"126,981"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
2017,"10,157"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2016,"9,735"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2015,"10,163"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2014,"9,770"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2013,"9,792"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2012,"9,354"," 45,601 "," 45,447 "," 47,199 "," 48,682 "," 49,184 "," 50,973 "
2017,"49,441"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2016,"48,130"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2015,"47,198"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2014,"45,454"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2013,"44,582"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2012,"43,198"," 35,989 "," 36,204 "," 38,152 "," 40,053 "," 41,178 "," 42,819 "
2017,"7,996"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2016,"7,845"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2015,"7,731"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2014,"7,507"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2013,"7,099"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2012,"7,333"," 45,442 "," 45,608 "," 47,488 "," 49,186 "," 49,192 "," 50,350 "
2017,"70,096"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2016,"67,857"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2015,"66,570"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2014,"64,661"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2013,"63,406"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2012,"61,956"," 39,373 "," 39,454 "," 40,753 "," 42,535 "," 43,499 "," 44,969 "
2017,"198,106"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2016,"191,966"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2015,"189,654"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2014,"183,912"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2013,"179,183"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2012,"174,187"," 44,241 "," 44,816 "," 47,370 "," 47,465 "," 46,586 "," 49,227 "
2017,"18,035"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
2016,"17,913"," 36,005 "," 36,511 "," 38,168 "," 40,459 "," 41,750 "," 43,400 "
